Size (Bytes), Width (bits), Area (um^2), Read Energy (nJ), Write Energy (nJ)
131072, 128,123230.592,28.09135165,40.15499025,2.50888663283
131072, 64,123380.72064,27.9867838,37.78700245,2.50583384033
16384, 16,18703.89144,6.69674795,8.07755085,1.18914005502
16384, 32,18663.62472,6.65678605,8.6303373,1.19170562148
16384, 64,21992.7204,10.71476595,13.71352685,3.51811800417
16384, 8,18412.0668,4.9916182,6.09949035,2.57107912649
2048, 4,4154.61528,2.5486621,2.8583477,1.51495187901
2048, 8,4140.47592,2.4652414,2.88939735,1.50979605866
32768, 128,46364.72832,21.5420447,27.53483115,6.6682496852
32768, 16,32448.2652,8.0535222,10.2593827,1.45890328291
32768, 32,32407.99848,7.8681372,10.83467545,1.45709285484
32768, 64,34810.3332,11.85349905,15.86404895,2.22270166607
4096, 16,6690.79656,3.6193051,4.394194,1.07030923923
4096, 4,6567.73272,2.82100975,3.2296192,2.39487855179
4096, 8,6713.64504,3.7158107,4.2314853,1.06666666667
65536, 128,71986.68288,23.8648108,31.88121435,4.29484416638
65536, 32,60520.662,13.88046855,18.7828784,1.27845570493
65536, 64,60445.5588,13.94051595,19.97464385,1.28004417754
8192, 16,10590.27048,4.089945,5.12159425,1.47883579126
8192, 32,11791.43784,5.9558854,7.43294315,1.88624549421
8192, 4,11393.9676,3.51364755,4.12010725,4.15473189734
8192, 8,10613.11896,4.09176485,4.8048392,1.4820263755
